id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
214GB90203559_3174,"Falafel med couscous","Falafels med grönsakscouscous och rostad paprika",https://placeholdit.imgix.net/~text?txtsize=33&name=Falafel%20med%20couscous&w=530&h=530,https://bonculinadev.local/product/falafel-med-couscous/,"Vegetariskt","Bonculina",65SEK,in stock,214GB90203559_3174,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=3174,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
EPVEG_2884,"Veggie paketet - 20 måltider","Veggie paketet består av 20 stycken vegetariska måltider, baserat på sju stycken olika rätter. 
 
Klicka på rätterna i listan för att läsa mer om respektive måltid.",https://placeholdit.imgix.net/~text?txtsize=33&name=Veggie%20paketet%20-%2020%20m%C3%A5ltider&w=530&h=530,https://bonculinadev.local/product/veggie-paketet-20-maltider/,"Paket","Bonculina",1150SEK,in stock,EPVEG_2884,https://bonculinadev.local/product/veggie-paketet-20-maltider/,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,999SEK,new,published,,
EPTREN_2883,"Trendy paketet - 20 måltider","Trendy paketet består av 20 måltider. De 13 olika rätterna består av vegetariska, kyckling-, skaldjur och lammbaserade måltider. 
 
Klicka på rätterna i listan för att läsa mer om respektive måltid.",https://placeholdit.imgix.net/~text?txtsize=33&name=Trendy%20paketet%20-%2020%20m%C3%A5ltider&w=530&h=530,https://bonculinadev.local/product/trendy-paketet-20-maltider/,"Paket","Bonculina",1240SEK,in stock,EPTREN_2883,https://bonculinadev.local/product/trendy-paketet-20-maltider/,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,1099SEK,new,published,,
418IT9012813_2878,"Tortellini Panna Prosciutto","Tortellinipasta fylld med prosciuttoskinka och ost i en krämig gräddsås.",https://placeholdit.imgix.net/~text?txtsize=33&name=Tortellini%20Panna%20Prosciutto&w=530&h=530,https://bonculinadev.local/product/tortellini-panna-prosciutto/,"Fläsk, Pasta","Bonculina",55SEK,in stock,418IT9012813_2878,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2878,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
418IT9012812_2870,"Trofiepasta med pestosås","Trofiepasta i smakrik basilikapesto.",https://placeholdit.imgix.net/~text?txtsize=33&name=Trofiepasta%20med%20pestos%C3%A5s&w=530&h=530,https://bonculinadev.local/product/trofiepasta-med-pesto-sas/,"Pasta, Vegetariskt","Bonculina",55SEK,in stock,418IT9012812_2870,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2870,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
419IT9012811_2867,"Spagetti Carbonara","Klassisk spagetti carbonara. Spagetti med ägg, grädde, bacon och ostsås.",https://placeholdit.imgix.net/~text?txtsize=33&name=Spagetti%20Carbonara&w=530&h=530,https://bonculinadev.local/product/spagetti-carbonara/,"Fläsk, Pasta","Bonculina",55SEK,in stock,419IT9012811_2867,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2867,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
218IT9012805_2864,"Cannelloni med ricottaost och spenat","Pasta rullar fyllda med ricottaost, spinal och tomatsås.",https://placeholdit.imgix.net/~text?txtsize=33&name=Cannelloni%20med%20ricottaost%20och%20spenat&w=530&h=530,https://bonculinadev.local/product/cannelloni-med-ricottaost-och-spenat/,"Pasta, Vegetariskt","Bonculina",55SEK,in stock,218IT9012805_2864,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2864,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
218IT9012802_2861,"Tagliatellepasta med köttfärssås","Tagliatellipasta serverad med mustig köttfärsås, gjord på oxkött.",https://placeholdit.imgix.net/~text?txtsize=33&name=Tagliatellepasta%20med%20k%C3%B6ttf%C3%A4rss%C3%A5s&w=530&h=530,https://bonculinadev.local/product/tagliatellepasta-med-kottfarssas/,"Nötkött, Pasta","Bonculina",55SEK,in stock,218IT9012802_2861,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2861,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
224GB90203529_2860,"Kyckling Korma","Strimlat kycklingbröst i en mild kormacurry serveras med basmatiris.",https://placeholdit.imgix.net/~text?txtsize=33&name=Kyckling%20Korma&w=530&h=530,https://bonculinadev.local/product/kyckling-korma/,"Kyckling","Bonculina",55SEK,in stock,224GB90203529_2860,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2860,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
224GB90203501_2859,"Kyckling Tikka Masala","Kycklingbröststrimlor i en medelkryddad krämig tomatcurry serverad med basmatiris.",https://placeholdit.imgix.net/~text?txtsize=33&name=Kyckling%20Tikka%20Masala&w=530&h=530,https://bonculinadev.local/product/kyckling-tikka-masala/,"Kyckling","Bonculina",55SEK,in stock,224GB90203501_2859,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2859,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
224GB90203518_2858,"Vegetarisk grönsakslasagne","Pastaplattor i lager med ostsås, blandad paprika, zucchini, svamp, lök och röda linser i en rik tomatsås serverad med skivade morötter och broccoli.",https://placeholdit.imgix.net/~text?txtsize=33&name=Vegetarisk%20gr%C3%B6nsakslasagne&w=530&h=530,https://bonculinadev.local/product/vegetarisk-lasagne/,"Pasta, Vegetariskt","Bonculina",55SEK,in stock,224GB90203518_2858,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2858,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
210GB90203555_2857,"Chilli Con Carne","Mexikansk gryta av oxkött och kineybönor i en mild chilikryddad tomatbaserad sås med örtris.",https://placeholdit.imgix.net/~text?txtsize=33&name=Chilli%20Con%20Carne&w=530&h=530,https://bonculinadev.local/product/chilli-con-carne/,"Nötkött","Bonculina",55SEK,in stock,210GB90203555_2857,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2857,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
214GB90203567_2856,"Marockansk vegetarisk gryta","Mildkryddad tomatgryta av butternutpumpa, spenat, morot, blomkål och kikärtor serveras med örtris.",https://placeholdit.imgix.net/~text?txtsize=33&name=Marockansk%20vegetarisk%20gryta&w=530&h=530,https://bonculinadev.local/product/marockansk-vegetarisk-gryta/,"Vegetariskt","Bonculina",55SEK,in stock,214GB90203567_2856,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2856,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
232GB90203553_2855,"Kyckling Karahi","Strimlat kycklingbröst i en kryddig och stark tomatbaserad curry toppad med koriander och serveras med örtris. Observera att detta är en rätt med starka kryddor.",https://placeholdit.imgix.net/~text?txtsize=33&name=Kyckling%20Karahi&w=530&h=530,https://bonculinadev.local/product/kyckling-karahi/,"Kyckling","Bonculina",55SEK,in stock,232GB90203553_2855,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2855,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55SEK,new,published,,
223GB90203549_2854,"Kålpudding med kokt potatis","Bakad kålpudding av blandfärs och kryddad kål i en krämig brunsås serverad med ångad potatis och morötter.",https://placeholdit.imgix.net/~text?txtsize=33&name=K%C3%A5lpudding%20med%20kokt%20potatis&w=530&h=530,https://bonculinadev.local/product/kalpudding/,"Fläsk, Nötkött","Bonculina",65SEK,in stock,223GB90203549_2854,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2854,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
218IT9012801_2850,"Lasagne","  
 
  
 
Lasagne tillagad i ugn med tomatbaserad köttfärsås.",https://placeholdit.imgix.net/~text?txtsize=33&name=Lasagne&w=530&h=530,https://bonculinadev.local/product/lasagne/,"Nötkött, Pasta","Bonculina",65SEK,in stock,218IT9012801_2850,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2850,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
419IT9012817_2847,"Auberginelasagne","Auberginelasagne med tomatsås och parmesan.",https://placeholdit.imgix.net/~text?txtsize=33&name=Auberginelasagne&w=530&h=530,https://bonculinadev.local/product/auberginelasagne/,"Vegetariskt","Bonculina",65SEK,in stock,419IT9012817_2847,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2847,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
418IT9012816_2844,"Skaldjursrisotto med zucchini","Italiensk risotto gjord på ris, zucchini, skaldjur fisk och ost. Glutenfri.",https://placeholdit.imgix.net/~text?txtsize=33&name=Skaldjursrisotto%20med%20zucchini&w=530&h=530,https://bonculinadev.local/product/skaldjursrisotto-med-zucchini/,"Fisk","Bonculina",65SEK,in stock,418IT9012816_2844,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2844,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
226GB90203557_2835,"Coq Au Vin","Kycklingbröst i rödvinssås med svamp, strimmig bacon och vitlök serveras med hel rostad potatis.",https://placeholdit.imgix.net/~text?txtsize=33&name=Coq%20Au%20Vin&w=530&h=530,https://bonculinadev.local/product/coq-au-vin-med-helstekt-potatis/,"Kyckling","Bonculina",65SEK,in stock,226GB90203557_2835,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2835,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
226GB90203546_2820,"Boeuf Bourguignon","Mustig köttgryta i rödvinssås med pärllök, svamp, bacon och vitlök serveras med potatismos.",https://placeholdit.imgix.net/~text?txtsize=33&name=Boeuf%20Bourguignon&w=530&h=530,https://bonculinadev.local/product/bouef-bourguignon/,"Nötkött","Bonculina",65SEK,in stock,226GB90203546_2820,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2820,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
214GB90203565_2818,"Marockansk lammgryta","Milt kryddat lamm i tomatbaserad gryta med butternutpumpa, spenat, morot, blomkål och kikärtsgryta serverad med grönsaker couscous",https://placeholdit.imgix.net/~text?txtsize=33&name=Marockansk%20lammgryta&w=530&h=530,https://bonculinadev.local/product/marockansk-lammgryta-med-couscous/,"Lamm","Bonculina",65SEK,in stock,214GB90203565_2818,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2818,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
224GB90203548_2816,"Revbensstek med chipotle BBQ-sås","Bräserad revbensstek i chipotle BBQ-sås, serverad med helstekt potatis i vitlök och ångkokt broccoli.",https://placeholdit.imgix.net/~text?txtsize=33&name=Revbensstek%20med%20chipotle%20BBQ-s%C3%A5s&w=530&h=530,https://bonculinadev.local/product/revbensstek-med-chipotle-bbq-sas/,"Nötkött","Bonculina",75SEK,in stock,224GB90203548_2816,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=2816,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,75SEK,new,published,,
218IT9012807_1906,"Pennepasta med lax","Pennepasta serverad med krämig laxsås.",https://placeholdit.imgix.net/~text?txtsize=33&name=Pennepasta%20med%20lax&w=530&h=530,https://bonculinadev.local/product/pennepasta-med-lax/,"Fisk, Pasta","Bonculina",65SEK,in stock,218IT9012807_1906,https://bonculinadev.local/kundvagn__trashed/?add-to-cart=1906,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65SEK,new,published,,
